stage,simulation,outcome,position,i,lambda,upper,lower,BF,grid_idx,bin_x,bin_y,vx,vy
Encoding,What if? - Remember,Miss,ball,9,-4.194622,-1.6180190000000003,-7.160880000000001,1203.7284220900588,60,-312.5,215.285115251741,,
Encoding,Cause - Remember,Miss,ball,4,-2.1979075,-0.4304439999999996,-3.9745600000000003,48.95661515802227,81,-277.5,215.285115251741,,
Encoding,Cause - What if?,Score,goalie,1,-0.9093100000000001,-0.061380000000000656,-1.7851469999999994,11.840679091979025,96,-242.5,33.41978045700887,,
Simulation,What if? - Remember,Miss,ball,22,3.8850844999999996,5.536719999999999,2.53958,4000,40,-365,245.59600438419636,,
Simulation,What if? - Remember,Miss,ball,134,-2.298178,-0.8128299999999999,-3.723438,271.9288972360157,486,405,-239.3782217350893,,
Simulation,What if? - Remember,Miss,goalie,50,2.93765635,4.207289999999999,1.7698530000000003,4000,102,-242.5,215.285115251741,,
Simulation,What if? - Remember,Miss,goalie,50,-2.5715444999999995,-0.23902999999999963,-4.7458599999999995,54.816642577773194,464,387.5,-269.6891108675446,,
Simulation,What if? - Remember,Score,ball,6,4.67961,6.92326,2.2994952,4000,6,-382.5,-148.44555433772325,,
Simulation,What if? - Remember,Score,ball,79,-2.6427549999999997,-1.8039199999999997,-3.5894189999999995,4000,418,265,245.59600438419636,,
Simulation,What if? - Remember,Score,goalie,39,1.5504755500000003,3.1212299999999997,0.27027599999999996,25.000802096025684,468,387.5,-148.44555433772325,,
Simulation,What if? - Remember,Score,goalie,15,-1.7971619999999993,-0.8146599999999999,-2.8266609999999996,589.10306002209,81,-277.5,215.285115251741,,
Simulation,Cause - Remember,Miss,ball,5,2.9435250000000006,5.0636,1.0907155,285.4781268806909,13,-400,63.73066958946424,,
Simulation,Cause - Remember,Miss,ball,18,-1.1728950000000005,-0.04266999999999932,-2.2708900000000005,11.2928682062259,486,405,-239.3782217350893,,
Simulation,Cause - Remember,Miss,goalie,1,2.1455345499999994,4.480640000000001,0.1539199999999994,18.82845213002988,9,-400,-57.51288694035719,,
Simulation,Cause - Remember,Score,ball,13,3.191175,5.490881999999999,0.9449169999999993,209.70470041081379,26,-365,-178.7564434701786,,
Simulation,Cause - Remember,Score,goalie,7,1.4174754999999997,2.6567065000000003,0.3145599999999993,31.143261473750847,70,-295,-118.13466520526788,,
Simulation,Cause - Remember,Score,goalie,2,-1.2628454999999996,-0.0731300000000008,-2.359837999999999,15.416633014063683,167,-137.5,275.9068935166516,,
Simulation,Cause - What if?,Miss,ball,5,1.971447500000001,3.729589999999999,0.2038189999999993,31.887761177575044,106,-225,-300,,
Simulation,Cause - What if?,Miss,ball,10,-2.2550155,-0.9524600000000003,-3.7617710000000004,304.380368608093,42,-365,306.217782649107,,
Simulation,Cause - What if?,Miss,goalie,47,2.1891054999999997,4.141210000000001,0.5855199999999998,65.06635293145327,465,370,-239.3782217350893,,
Simulation,Cause - What if?,Miss,goalie,27,-1.9942000000000002,-1.1447500000000002,-2.8642,4000,100,-242.5,154.66333698683025,,
Simulation,Cause - What if?,Score,ball,65,2.33285,3.2250510000000006,1.4376100000000003,4000,418,265,245.59600438419636,,
Simulation,Cause - What if?,Score,ball,6,-1.9733873500000003,-0.5164299999999997,-3.3417339999999998,80.71490689182556,9,-400,-57.51288694035719,,
Simulation,Cause - What if?,Score,goalie,7,1.7789645000000003,2.90055423,0.7950600000000003,291.0052749606517,60,-312.5,215.285115251741,,
Simulation,Cause - What if?,Score,goalie,47,-1.7746862,-0.020071999999999868,-3.5348100000000002,24.30662261293712,488,405,-178.7564434701786,,
